City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Praia Da Vitoria,PT,78.76,clear sky,38.7333,-27.0667,Hotel Branco I
463,Tateyama,JP,78.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
472,Duzce,TR,89.22,clear sky,40.8389,31.1639,Gösteri̇şli̇ Otel
481,Hajipur,IN,80.58,mist,25.6833,85.2167,Sunderwati Niketan
482,Tepalcatepec,MX,75.76,overcast clouds,19.1833,-102.85,Maria De Jesus
489,Kadoma,JP,81.18,overcast clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
498,Anloga,GH,78.66,overcast clouds,5.7947,0.8973,Pin Drop Hotel
499,Sisophon,KH,78.58,overcast clouds,13.5859,102.9737,Pyramid Hotel
501,Pangai,TO,76.48,clear sky,-19.8,-174.35,Ha'apai Beach Resort
504,Lumajang,ID,75.16,overcast clouds,-8.1335,113.2248,SPOT ON 2440 Wallet Family Residence
507,Luanda,AO,75.29,clear sky,-8.8368,13.2343,EPIC SANA Luanda
510,Chalinze,TZ,78.28,broken clouds,-6.6378,38.354,Dolphin Guesthouse
512,Malpe,IN,79.9,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
519,Sibolga,ID,76.46,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
520,Bali Chak,IN,80.92,scattered clouds,22.3667,87.55,MG Guest House
521,Lethem,GY,89.28,broken clouds,3.3803,-59.7968,Savannah Inn
523,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
527,Russell,US,80.01,clear sky,32.3502,-85.1999,Macs
532,Puerto Del Rosario,ES,83.95,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
534,Kropotkin,RU,81.37,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
536,Formosa,AR,84.18,clear sky,-26.1775,-58.1781,Asterión Departamentos
537,Vila Do Maio,CV,84.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
541,Pasinler,TR,77.99,scattered clouds,39.9803,41.6764,Pasinler Öğretmenevi
547,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
549,Alamogordo,US,81.21,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
552,Bubaque,GW,80.19,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
554,Garissa,KE,87.84,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
558,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
561,Xai-Xai,MZ,76.68,clear sky,-25.0519,33.6442,Complexo da Familia
564,Ca Mau,VN,78.35,light rain,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
571,Korla,CN,75.47,overcast clouds,41.7597,86.1469,Gulisitan Hotel
577,Palafrugell,ES,77.76,scattered clouds,41.9174,3.1631,Hotel La Torre
578,Parnamirim,BR,84.54,few clouds,-5.9156,-35.2628,Pousada Joaci
579,Tagusao,PH,80.73,scattered clouds,9.1924,117.8141,Caycay future beach resort
581,Mulanay,PH,79.84,overcast clouds,13.5222,122.4042,Kamhantik
582,Ures,MX,83.14,clear sky,29.4333,-110.4,HOTEL SAHUARO HOUSE
583,Almenara,BR,87.67,light rain,-16.1836,-40.6944,Pousada Estância
585,Dumai,ID,75.2,overcast clouds,1.6833,101.45,Grand Zuri Dumai
