City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Mana,GF,5.6592,-53.7767,87.39,61,8,10.94,clear sky
211,Ponta Do Sol,PT,32.6667,-17.1,81.23,77,9,10.29,light rain
212,Sao Filipe,CV,14.8961,-24.4956,79.54,78,12,8.93,few clouds
213,Te Anau,NZ,-45.4167,167.7167,36.45,91,97,1.1,overcast clouds
214,Umm Kaddadah,SD,13.6017,26.6876,88.57,41,79,3.38,broken clouds
215,Hellvik,NO,59.9156,5.781,56.77,79,32,13.0,scattered clouds
216,Sayanogorsk,RU,53.0875,91.3997,44.8,70,19,4.03,few clouds
217,Dillon,US,34.4166,-79.3712,79.88,52,0,7.49,clear sky
218,Kozelsk,RU,54.0375,35.7716,55.85,66,93,9.4,overcast clouds
219,Uribia,CO,11.7139,-72.266,88.27,56,95,3.13,overcast clouds
220,Worthington,US,40.0931,-83.018,76.66,77,100,1.99,overcast clouds
221,Verkhnevilyuysk,RU,63.4453,120.3167,33.96,87,100,6.04,overcast clouds
222,Goderich,CA,43.7501,-81.7165,71.91,82,97,9.22,overcast clouds
223,Casa Grande,US,32.8795,-111.7573,81.52,40,0,1.99,clear sky
224,Houston,US,29.7633,-95.3633,88.3,75,40,10.36,scattered clouds
225,Faanui,PF,-16.4833,-151.75,78.76,61,94,19.35,overcast clouds
226,Krasnoselkup,RU,65.7,82.4667,49.46,78,100,9.91,overcast clouds
227,Salalah,OM,17.0151,54.0924,79.54,87,99,6.91,overcast clouds
228,Vao,NC,-22.6667,167.4833,71.53,69,91,18.23,overcast clouds
229,Carnarvon,AU,-24.8667,113.6333,66.92,74,0,17.49,clear sky
230,Ourossogui,SN,15.6064,-13.3211,96.31,36,88,9.26,overcast clouds
231,Nirmal,IN,19.1,78.35,75.0,90,91,5.08,light rain
232,Bathsheba,BB,13.2167,-59.5167,88.41,74,20,16.11,few clouds
233,Rio Grande City,US,26.3798,-98.8203,85.87,63,67,10.02,broken clouds
234,Bitam,GA,2.076,11.5007,77.02,89,96,4.52,light rain
235,Kurilsk,RU,45.2333,147.8833,59.34,97,100,10.6,overcast clouds
236,Pontal Do Parana,BR,-25.6533,-48.5128,69.98,57,0,6.24,clear sky
237,Rio Grande,BR,-32.035,-52.0986,69.91,67,28,17.4,scattered clouds
238,Tuatapere,NZ,-46.1333,167.6833,39.52,91,95,5.44,overcast clouds
239,Cap Malheureux,MU,-19.9842,57.6142,72.46,70,0,8.01,clear sky
240,Jabinyanah,TN,35.035,10.9081,87.6,57,67,12.1,broken clouds
241,Xixiang,CN,35.1628,112.865,78.42,46,17,5.23,few clouds
242,Kuching,MY,1.55,110.3333,75.42,94,20,2.3,few clouds
243,Asau,RO,46.4333,26.4,58.28,95,100,2.73,overcast clouds
244,Hamilton,US,39.1834,-84.5333,77.92,75,87,1.99,overcast clouds
245,Mimarsinan,TR,41.0032,28.5377,90.23,46,6,6.15,clear sky
246,Alamosa,US,37.4695,-105.87,58.3,38,0,5.75,clear sky
247,Mayo,US,38.8876,-76.5119,78.49,77,61,3.0,broken clouds
248,Soyo,AO,-6.1349,12.3689,76.71,75,87,8.86,overcast clouds
249,Nkowakowa,ZA,-23.8878,30.2871,89.85,12,0,8.39,clear sky
250,Vestmanna,FO,62.1564,-7.1664,50.92,82,75,8.05,broken clouds
251,Mandera,KE,3.9366,41.867,92.39,26,62,14.88,broken clouds
252,Matara,LK,5.9485,80.5353,78.4,81,12,10.78,few clouds
253,Gobabis,NA,-22.45,18.9667,85.46,9,2,2.64,clear sky
254,Sovetskiy,RU,61.3614,63.5842,55.92,48,58,8.72,broken clouds
255,Kavaratti,IN,10.5669,72.642,80.82,79,100,11.81,overcast clouds
256,Clyde River,CA,70.4692,-68.5914,34.03,100,100,16.11,light intensity drizzle rain
257,Lompoc,US,34.6391,-120.4579,58.51,90,100,13.8,overcast clouds
258,Raton,US,36.9034,-104.4391,61.32,31,0,1.3,clear sky
259,Almeria,ES,37.1667,-2.3333,80.76,39,1,12.03,clear sky
260,Zhigansk,RU,66.7697,123.3711,30.52,88,90,10.98,overcast clouds
261,Mudon,MM,16.2578,97.7164,76.39,92,94,6.49,overcast clouds
262,Acapulco,MX,16.8634,-99.8901,75.02,94,100,5.75,overcast clouds
263,Linxia,CN,35.6003,103.2064,63.09,66,94,3.4,overcast clouds
264,Saint Anthony,US,45.0205,-93.218,69.22,89,97,5.99,overcast clouds
265,Spring Valley,US,36.108,-115.245,76.37,33,0,2.59,clear sky
266,Santa Maria,BR,-29.6842,-53.8069,67.3,60,0,13.8,clear sky
267,Trairi,BR,-3.2778,-39.2689,87.35,53,92,15.68,overcast clouds
268,Puerto Madryn,AR,-42.7692,-65.0385,49.55,64,100,12.73,overcast clouds
269,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,100,100,12.66,overcast clouds
270,Coahuayana,MX,18.7333,-103.6833,76.23,92,98,2.89,overcast clouds
271,Balkanabat,TM,39.5108,54.3671,82.35,31,2,1.63,clear sky
272,Meulaboh,ID,4.1363,96.1285,76.75,85,64,1.9,moderate rain
273,Altamont,US,42.2068,-121.7372,46.78,91,67,0.85,broken clouds
274,Rohnert Park,US,38.3396,-122.7011,57.15,91,75,0.0,broken clouds
