City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
180,Roseburg,US,2022-09-14 12:30:05,43.2165,-123.3417,57.31,72,100,0.0,US
181,Asau,RO,2022-09-14 12:31:06,46.4333,26.4,74.32,42,42,10.4,RO
182,Khandbari,NP,2022-09-14 12:31:07,27.3747,87.2039,72.23,90,72,0.49,NP
183,Ixtapa,MX,2022-09-14 12:31:08,20.7,-105.2,78.22,94,100,3.44,MX
184,Turan,VN,2022-09-14 12:30:43,16.0678,108.2208,78.78,89,40,1.14,VN
185,Aljezur,PT,2022-09-14 12:31:08,37.3191,-8.8033,73.99,74,25,11.63,PT
186,Srednekolymsk,RU,2022-09-14 12:31:09,67.45,153.6833,36.99,70,13,7.54,RU
187,Coro,VE,2022-09-14 12:30:39,11.4045,-69.6734,83.32,69,100,11.72,VE
188,Albert,FR,2022-09-14 12:31:10,50.0009,2.651,66.72,94,75,4.61,FR
189,Mangan,IN,2022-09-14 12:31:10,27.5167,88.5333,75.47,96,89,0.47,IN
190,Yumen,CN,2022-09-14 12:31:11,40.2833,97.2,75.49,27,100,7.52,CN
191,Monrovia,LR,2022-09-14 12:31:11,6.3005,-10.7969,73.17,82,100,14.12,LR
192,Darhan,MN,2022-09-14 12:31:12,49.4867,105.9228,51.82,67,92,7.63,MN
193,Tubinskiy,RU,2022-09-14 12:31:12,52.8892,58.2225,59.56,47,100,8.48,RU
194,Saint-Denis,FR,2022-09-14 12:31:13,48.9167,2.3333,81.09,61,75,12.66,FR
195,Luderitz,NA,2022-09-14 12:31:13,-26.6481,15.1594,65.84,62,5,13.09,NA
196,Kuala Terengganu,MY,2022-09-14 12:31:14,5.3302,103.1408,82.35,89,20,5.01,MY
197,San Patricio,US,2022-09-14 12:31:14,28.017,-97.5169,82.83,81,1,4.0,US
198,Vao,NC,2022-09-14 12:31:15,-22.6667,167.4833,69.33,75,0,11.95,NC
199,Tuatapere,NZ,2022-09-14 12:31:15,-46.1333,167.6833,37.96,91,14,4.9,NZ
200,Chapais,CA,2022-09-14 12:31:16,49.7834,-74.8492,49.78,87,100,13.4,CA
201,Longyearbyen,SJ,2022-09-14 12:31:16,78.2186,15.6401,35.44,80,75,3.44,SJ
202,Rionero In Vulture,IT,2022-09-14 12:31:17,40.9257,15.67,72.34,21,74,8.32,IT
203,Bonthe,SL,2022-09-14 12:31:18,7.5264,-12.505,78.62,85,100,12.55,SL
204,Moussoro,TD,2022-09-14 12:31:18,13.6408,16.4901,93.99,40,100,3.0,TD
205,Kaz,RU,2022-09-14 12:31:19,52.9113,87.3105,46.2,83,100,4.0,RU
206,Vila Velha,BR,2022-09-14 12:31:19,-20.3297,-40.2925,82.35,67,0,9.22,BR
207,Kruisfontein,ZA,2022-09-14 12:31:20,-34.0033,24.7314,86.18,16,0,9.26,ZA
208,Constantine,DZ,2022-09-14 12:30:17,36.365,6.6147,100.74,14,89,12.24,DZ
209,Ribeira Grande,PT,2022-09-14 12:27:24,38.5167,-28.7,77.4,83,40,6.91,PT
